CODE,CODE_EN_DES,CODE_VI_DES,HSCODE,Manual
90ACC0375,"ACC,TDR,RESTRICTED,7"",MGL9800I",PH? KI?N ??U ??C MÃ V?CH,84733090,PH? KI?N
710034600,RECEIVING LENS ASSEMBLY NEON,TH?U KÍNH,90021900,TH?U KÍNH
131128603,"USB RUBBER COVER, HC, MIC",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
131128613,"USB RUBBER COVER, LIGHT, MIC",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
131128623,"USB RUBBER COVER, DARK, MIC",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
278171610,SUPPORT LH  MSC CRADLE MEMOR 1,MI?NG ??M (NH?A),39269059,MI?NG ??M (NH?A)
163196290,,NHÃN (NH?A CU?N),39191099,NHÃN (NH?A CU?N)
94ACC0193,"RUBBER BOOT, MEMOR 10",MI?NG ??M (CAO SU),40169390,MI?NG ??M (CAO SU)
010000769,SCREW M1.6X35X14 PAN PHILLIPS,?C VÍT,73181590,?C VÍT
010000770,SCREW M1.6X35X10 PAN PHILLIPS,?C VÍT,73181590,?C VÍT
019900909,"SPACER, HEX, M2X15, M/F",MI?NG ??M,58061090,MI?NG ??M
019900911,"NUT, HEX, M2X0.4X1.6",?AI ?C,73181690,?AI ?C
019900913,"NUT, HEX, M2X0.4X1.2",?AI ?C,73181690,?AI ?C
019900914,"WASHER 3,2X0,5 POLYSLIDER",MI?NG ??M,58061090,MI?NG ??M
019900915,"SPACER, RND, DURACON 4X5",MI?NG ??M,58061090,MI?NG ??M
040000187,SLIDE BEARING 8-10 L.10 (-100°C/+250°C),MI?NG ??M,58061090,MI?NG ??M
134019702,"RADIO BUMPER, CRADLE 45 SHA MIC",MI?NG ??M (CAO SU),40169390,MI?NG ??M (CAO SU)
142089500,"TRAY,TOP,ENGINE,FIREFLY",KHAY (NH?A),39269059,KHAY (NH?A)
142089600,"TRAY,BOTTOM,ENGINE ONLY,FIREFLY",KHAY (NH?A),39269059,KHAY (NH?A)
142089700,"TRAY,BOTTOM,MULTI ENGINE,FIREFLY",KHAY (NH?A),39269059,KHAY (NH?A)
142089800,"BOX,10-PACK,ENGINE,FIREFLY",H?P ?ÓNG GÓI,48191000,H?P ?ÓNG GÓI
710036000,GOT LASER POINTER NEON,KHUNG ?? (H?P KIM K?M),79070099,KHUNG ?? (H?P KIM K?M)
019900912,"SPACER, RND, DURACON 4x8",MI?NG ??M (NH?A),39269059,MI?NG ??M (NH?A)
131123303,"ENCLOSURE,MGL3400",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
278172104,"BASKET,MIRROR,MGL34X0",KHUNG ?? (NH?A),39269059,KHUNG ?? (NH?A)
278172403,"HORN,SPEAKER,MGL34XX",KHUNG ?? (NH?A),39269059,KHUNG ?? (NH?A)
084000380,"CAP,100NF,16V,X7R,10%,0201,ROHS",T? ?I?N,85322400,T? ?I?N
134020500,BUMPER-FLANGE-1.57 NEON,MI?NG ??M (CAO SU),40169390,MI?NG ??M (CAO SU)
134020600,BUMPER-REAR-1.57 NEON,MI?NG ??M (CAO SU),40169390,MI?NG ??M (CAO SU)
278177301,FRONT COVER NEON,KHUNG ?? (H?P KIM K?M),79070099,KHUNG ?? (H?P KIM K?M)
278177801,CHASSIS NEON,KHUNG ?? (H?P KIM K?M),79070099,KHUNG ?? (H?P KIM K?M)
278179300,FLANGE NEON,KHUNG ?? (H?P KIM K?M),79070099,KHUNG ?? (H?P KIM K?M)
294053001,"WINDOW EXIT, NINJA",KÍNH (NH?A),39269059,KÍNH (NH?A)
000001428,CONN BM20 30PIN SMD P0.4 B TO B HEADER,??U N?I,85366939,??U N?I
025000291,"SWITCH, SMD, SGS P/MOM, 1MC, 2NF",CÔNG T?C,85365051,CÔNG T?C
054100208,IC STM32L051T8 WLCSP CORTEXM0+ 36PIN 64K,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
062000093,"BJT P/P,PEMB10,RES R1=2K2,R2=47K,SOT666",TRANSISTOR,85412900,TRANSISTOR
100419203,FE4192 PCB CS2251,M?CH IN,85340030,M?CH IN
296026300,"SCREW M1.4X0.3X1.7 THREADLOCK, BLACKZINC",?C VÍT,73181590,?C VÍT
298067400,LENS PROJECTOR NEON,TH?U KÍNH,90021900,TH?U KÍNH
103020100,"SCREW,MACHINE,PAN,TORX, M2X0.4, L 19mm",?C VÍT,73181590,?C VÍT
131070403,"ENCLOSURE TOP 65,DARK",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
700283004,"HANDLE CORDED ASSY HC, MIC",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
700275002,MOTOR COIL ASSY NEON,MÔ T?,85011049,MÔ T?
027000112,TRANSFORMER 10/100 SMD BASE-TX for POE,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
054150082,IC ST3232E TSSOP16 3V3 RS232 TRANSCEIVER,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
131142700,"STAND BASE ,QW2120",V? ?? ?? (NH?A),39269059,V? ?? ?? (NH?A)
131142800,"STAND ARM, BLACK,QW2120",V? ?? ?? (NH?A),39269059,V? ?? ?? (NH?A)
131142900,"STAND BUTTON,QW2120",NÚT NH?N (NH?A),39269059,NÚT NH?N (NH?A)
131147300,"STAND CUP,QW2120",V? ?? ?? (NH?A),39269059,V? ?? ?? (NH?A)
000000459,"CONN,HEADER 90° 2X6 P0,8MM",??U N?I,85366939,??U N?I
000000460,"CONN, VERT RECEPTACLE 2X6 P0,8MM",??U N?I,85366939,??U N?I
000000748,CONN ZIF FH33 20P 0.5MM SMD,??U N?I,85366939,??U N?I
010000769,SCREW M1.6X35X14 PAN PHILLIPS,?C VÍT,73181590,?C VÍT
010000770,SCREW M1.6X35X10 PAN PHILLIPS,?C VÍT,73181590,?C VÍT
019900909,"SPACER, HEX, M2X15, M/F",CH?T (THÉP),73269099,CH?T (THÉP)
019900910,"SPACER, HEX, M2X08, M/F",CH?T (THÉP),73269099,CH?T (THÉP)
019900911,"NUT, HEX, M2X0.4X1.6",?AI ?C (H?P KIM ??NG K?M),74199999,?AI ?C (H?P KIM ??NG K?M)
019900912,"SPACER, RND, DURACON 4X8",CH?T (THÉP),73269099,CH?T (THÉP)
019900913,"NUT, HEX, M2X0.4X1.2",CH?T (THÉP),73269099,CH?T (THÉP)
019900914,"WASHER 3,2X0,5 POLYSLIDER",MI?NG ??M (NH?A),39269059,MI?NG ??M (NH?A)
019900915,"SPACER, RND, DURACON 4X5",MI?NG ??M (NH?A),39269059,MI?NG ??M (NH?A)
025000260,"SWITCH,PUSHBUTTON SMD 3.4N 3.0X2.6X0.7MM",NÚT NH?N,85371099,NÚT NH?N
025000291,"WITCH, SMD, SGS P/MOM, 1MC, 2NF",NÚT NH?N,85371099,NÚT NH?N
027000070,"EMI,FERRITE BEAD,600 OHM/100MHZ,0603",VIÊN FE-RI,85049090,VIÊN FE-RI
027000324,"IND, 4.7UH,1.3A,20%,3.9X3.9X1.7",CU?N C?M,85045020,CU?N C?M
027000326,"IND, 10UH,3.5A,20%,6.3X6.3X 5",CU?N C?M,85045020,CU?N C?M
027100005,"IND    4,7 UH 20% SMD 0,31A SIMID03",CU?N C?M,85045020,CU?N C?M
027110132,"IND    1,5 UH 20% SMD 1,7A 3X3MM",CU?N C?M,85045020,CU?N C?M
034383820,RES 820   K 1% 0402 1/16W,?I?N TR?,85332100,?I?N TR?
034509051,RES   5.1 R 5% 0805 1/8W,?I?N TR?,85332100,?I?N TR?
040000187,SLIDE BEARING 8-10 L.10 (-100°C/+250°C),MI?NG ??M (NH?A),39269059,MI?NG ??M (NH?A)
054100208,IC STM32L051T8 WLCSP CORTEXM0+ 36PIN 64K,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
054120187,"IC,I2C BUS SWITCH,PCA9546,5V,TSSOP-16",M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
054125135,"IC,TRANSCEIVER,PHY,KSZ8051,QFN-32",M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
054150061,IC MAX3443 SO8 RS485 60V PROTECTED,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
054220386,"IC,SP3203,RS232 TRANS,VLMIN 1V8,TSSOP20",M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
060000025,DIODE MSS1P6 MICROSMP 60V 1A,?I?T,85411000,?I?T
060000107,DIODE BRIDGE RECT. 1000V 1A SMD  H=1.7,?I?T,85411000,?I?T
060100186,"DIODE BAV99S SOT363 70V 0,2A DUAL SERIES",?I?T,85411000,?I?T
062000093,"BJT P/P,PEMB10,RES R1=2K2,R2=47K,SOT666",TRANSISTOR,85412900,TRANSISTOR
064100996,"QUARTZ 25,0000 MHZ SMD NX3225SA",TRANSISTOR,85412900,TRANSISTOR
065000012,MOSFET P SI7465DP PW PACK 60V 5A 65MOHM,TRANSISTOR,85412900,TRANSISTOR
065000064,"MOSFET N TSOP-6 150V 1,5A",TRANSISTOR,85412900,TRANSISTOR
067000038,CMOS SENSOR AR0135 SMD 1.2MP GLSHUTTER,TRANSISTOR,85412900,TRANSISTOR
068000216,"LED,PHOTO RED,SMD, HIGH DENSITY",?I?T PHÁT SÁNG,85414010,?I?T PHÁT SÁNG
068000217,"LED,COOLWHITE,SMD, HIGH DENSITY",?I?T PHÁT SÁNG,85414010,?I?T PHÁT SÁNG
069010004,"OPTOCOUPLER HMHA2801 SO4 2,5KV",?I?T PHÁT SÁNG,85414010,?I?T PHÁT SÁNG
080000014,"CAP EL RAD  330 UF 16V 6,5X11 MM",T? ?I?N,85322400,T? ?I?N
083000027,"CAP C0G  2,2   PF 50V 0402 +/- 025PF",T? ?I?N,85322400,T? ?I?N
084000380,"CAP,100NF,16V,X7R,10%,0201,ROHS",T? ?I?N,85322400,T? ?I?N
084000386,COND X7R 22UF 10% 35V 1206,??U N?I,85366939,??U N?I
054120143,IC MAX14821ETG+ TRANSCEIV IO-LINK 24TQFN,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
054120291,IC LTC4267 DFN16 3 POE CONTROLLER,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
054120296,IC LM3414 LLP-8 BUCK LED DRIVER,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
083115220,"CAP CER X7R 2,2 NF 50 V 0402 10%",T? ?I?N,85322400,T? ?I?N
084000224,"CAP,CERAMIC (X7R),10NF, 10% 250V, 0805",T? ?I?N,85322400,T? ?I?N
085000006,CAP C0G 150   PF 100V 0805 5%,T? ?I?N,85322400,T? ?I?N
100347205,"FAB,FE3472,GREEN SPOT",M?CH IN,85340030,M?CH IN
100416601,FE4166 PCB CS-2451,M?CH IN,85340030,M?CH IN
100419203,FE4192 PCB CS2251,M?CH IN,85340030,M?CH IN
100441401,FE4414 PCB CS-2646,M?CH IN,85340030,M?CH IN
100442000,FE4420 PCB CS-2356,M?CH IN,85340030,M?CH IN
100442101,FE4421 PCB CS-2656,M?CH IN,85340030,M?CH IN
100442400,FE4424 PCB CS2658,M?CH IN,85340030,M?CH IN
100448501,FE4485 PCB CS-2362,M?CH IN,85340030,M?CH IN
100451100,FE4511 PCB CS-2363,M?CH IN,85340030,M?CH IN
100453300,FE4533 PCB CS-2360,M?CH IN,85340030,M?CH IN
103020100,"SCREW,MACHINE,PAN,TORX, M2X0.4, L 19MM",?C VÍT,73181590,?C VÍT
131146600,"UPPER ENCLOSURE, NINJA",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
131146700,"BOTTOM ENCLOSURE, NINJA",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
134020500,BUMPER-FLANGE-1.57 NEON,MI?NG ??M (CAO SU),40169390,MI?NG ??M (CAO SU)
134020600,BUMPER-REAR-1.57 NEON,MI?NG ??M (CAO SU),40169390,MI?NG ??M (CAO SU)
151080600,"DAMPER HALOGEN, NINJA",MI?NG ??M (CAO SU),40169390,MI?NG ??M (CAO SU)
163346000,"LABEL SERIAL NUMBER, NINJA",NH?A MI?NG (NH?A),39269059,NH?A MI?NG (NH?A)
163348000,"MULTI-BATTERY CHARGER ESD LABEL, MIC",NHÃN (NH?A MI?NG),39199099,NHÃN (NH?A MI?NG)
163350800,"KAPTON LABEL, FIREFLY",KEO/KAPTON,39209299,KEO/KAPTON
175020601,LABEL KEYPAD,NH?A MI?NG (NH?A),39269059,NH?A MI?NG (NH?A)
176099700,TAPE SPEAKER SEAL,MI?NG DÁN,39199099,MI?NG DÁN
278177301,FRONT COVER NEON,KHUNG ?? (NHÔM),76169990,KHUNG ?? (NHÔM)
278177801,CHASSIS NEON,KHUNG ?? (NHÔM),76169990,KHUNG ?? (NHÔM)
278179300,FLANGE NEON,KHUNG ?? (NHÔM),76169990,KHUNG ?? (NHÔM)
278192400,"MOUNT ENGINE, NINJA",KHUNG ?? (NHÔM),76169990,KHUNG ?? (NHÔM)
298068200,OBJECTIVE ASSY MICHELANGELO,CH?T GÀI (NH?A),39269059,CH?T GÀI (NH?A)
710036000,GOT LASER POINTER NEON,THÂN ?? (K?M),79070099,THÂN ?? (K?M)
100425201,FE4252 M220 PCB CS-2288,M?CH IN,85340030,M?CH IN
163346100,"LABEL LASER, NINJA",NHÃN (NH?A CU?N),39191099,NHÃN (NH?A CU?N)
294053001,"WINDOW EXIT, NINJA",KÍNH (NH?A),39269059,KÍNH (NH?A)
710035000,LENS PIPE ASSY NEON,TH?U KÍNH,90021900,TH?U KÍNH
080040014,"CAP,X7R, 0.1 UF,5%,50V,0805",T? ?I?N,85322400,T? ?I?N
100413403,FE4134 M220 PCB CS-2288,M?CH IN,85340030,M?CH IN
298067400,LENS PROJECTOR NEON,TH?U KÍNH,90021900,TH?U KÍNH
131130100,MULTI-BATTERY CHARGER LOW. ENCLOSURE MIC,V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
251065000,METAL PLATE SSD JOYA TOUCH LIGHT,MI?NG ??M (H?P KIM K?M),79070099,MI?NG ??M (H?P KIM K?M)
700312900,"MULTI-BAT CHARGER UPPER ENCLOSURE, MIC",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
084000404,CAP X5R 10UF 25V 0603 20%,T? ?I?N,85322400,T? ?I?N
084000406,CAP X7R 47NF 50V 0402 10%,T? ?I?N,85322400,T? ?I?N
151080900,D-809 RUBBER SPACER M220 POE,MI?NG ??M (CAO SU),40169390,MI?NG ??M (CAO SU)
100449900,FE-4499 PCB CS-2393,M?CH IN,85340030,M?CH IN
176098301,"BOTTOM PLUG, NINJA",MI?NG ??M (CAO SU),40169390,MI?NG ??M (CAO SU)
278192302,"BOOT, ENCLOSURE SEAL, NINJA",MI?NG ??M (CAO SU),40169390,MI?NG ??M (CAO SU)
278192802,"SPEAKER RUBBER PART, NINJA",MI?NG ??M (CAO SU),40169390,MI?NG ??M (CAO SU)
770266901,"CABLE, USB, OUTPUT, 2M, NINJA",DÂY CÁP ?I?N,85444922,DÂY CÁP ?I?N
770269800,"CABLE,RS232,DB9, OUTPUT. 2M, NINJA",DÂY CÁP ?I?N,85444922,DÂY CÁP ?I?N
770269900,"CABLE, RJ10 PIGTAIL, OUTPUT, NINJA",DÂY CÁP ?I?N,85444922,DÂY CÁP ?I?N
820110500,INSTRUCTION NEON DEMO KIT,SÁCH H??NG D?N,49019990,SÁCH H??NG D?N
278194101,"MOUNT,MAGNET CUP,MGL1500I",KHUNG ?? (THÉP),73269099,KHUNG ?? (THÉP)
ZC0000286,"ADH,LOCTITE 3106,UV,BONDING,SYRINGE",KEO L?NG,35061000,KEO L?NG
700275003,MOTOR COIL ASSY NEON,MÔ T?,85011049,MÔ T?
700275502,GMC - 2755 COVER GROUP M120 STD/ESD,PH? KI?N C?M L?P RÁP V? NH?A,84733090,PH? KI?N
700276900,GMC - 2769 BODY GROUP M120 ETH WA,PH? KI?N C?M L?P RÁP V? NH?A,84733090,PH? KI?N
740228500,ASSY MODULE NEON DE2171-AF,PH? KI?N C?M L?P RÁP B? PH?N ?I?U KHI?N,84733090,PH? KI?N
062000092,,TRANSISTOR,85412900,TRANSISTOR
710034301,GOT-343 REWORKED OBJ M120 3X0-XXX 1.2MP,,#N/A,
740285500,ASSY MODULE HALOGEN1 DE2011-DL - MOVING,,#N/A,
131139205,"ENCLOSURE,BLACK,BACK,MGL1500I",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
131139206,"ENCLOSURE,WHITE,BACK,MGL1500I",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
000000897,CONN DF20G-10DP 1V 2X5 PINS,??U N?I,85366939,??U N?I
027000117,"TRANSFORMER FLYBACK POE 12V 7W ER14,5",CU?N C?M,85045020,CU?N C?M
027000325,"IND, 6.8UH,1.1A,20%,3X3X1.5",CU?N C?M,85045020,CU?N C?M
034000591,RES 0.120 OHM 1% 1206 1/4 W,?I?N TR?,85332100,?I?N TR?
053100080,IC LM431 SOT23-3 ADJ ZENER SHUNT REGUL.,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
053110015,IC LMV761 SOT23 PRECISION COMPARATOR,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
054100199,IC 2XARM CORTEX-A9 600MHZ + FPGA 25KLE,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
054110094,IC M24C64-WDW6 TSSOP8 64K EEPROM,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
054120087,PC LM3409MY MSOP10 PFET BUCK LED DRIVER,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
054120538,IC LV8549MC STEPPER MTR DRIVER SOIC10,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
054120598,"IC, IIS2DH,3 AXIS ACCELEROMETER, SMT",M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
054120687,IC MIC23451 2A 3MHZ TRIPLE SYNC BUCK REG,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
054120688,IC X3160 SSOP20 RS232/485 -40+85 IEC-ESD,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
054130121,IC 74LVC1G86DBVR SOT23 SINGLE XOR 4.5NS,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
