CODE,CODE_EN_DES,CODE_VI_DES,HSCODE,Manual
203007700,LC-77 AUTOFOCUS LEVER M220,KHUNG ?? (H?P KIM K?M),79070099,KHUNG ?? (H?P KIM K?M)
217021700,MC-217 AUTOFOCUS OBJECTIVE SPRING M220,LÒ XO (THÉP),73202090,LÒ XO (THÉP)
258049600,PT-496 CONNECTORS PANEL M220,KHUNG ?? (H?P KIM K?M),79070099,KHUNG ?? (H?P KIM K?M)
275063301,SH-633 DPM ILLUMINATOR SHIELD M220,MI?NG ??M (NH?A),39269059,MI?NG ??M (NH?A)
275063801,SH-638 STANDARD ILLUMINATOR SHIELD M220,MI?NG ??M (NH?A),39269059,MI?NG ??M (NH?A)
278183501,SP-1835 OPTICAL CAMERA STD VERSION M220,MI?NG ??M (NH?A),39269059,MI?NG ??M (NH?A)
278183601,SP-1836 CONNECTORS SUPPORT M220,MI?NG ??M (NH?A),39269059,MI?NG ??M (NH?A)
281080201,ST-802 BRACKET M220,MI?NG ??M (NH?A),39269059,MI?NG ??M (NH?A)
292005900,TS-59 HMI KEY M220,N?P (CAO SU),40169390,N?P (CAO SU)
296025900,VF-259 SCREW M1.4X0.3 L=6 TORX T3 M220,?C VÍT,73181590,?C VÍT
298068700,X-687 POINTER OPTICAL M220,KÍNH (NH?A),39269059,KÍNH (NH?A)
770262200,CVL-2622 MAIN CONNECTOR POE M220,DÂY CÁP ?I?N,85444922,DÂY CÁP ?I?N
821005631,$ MATRIX 220 QUICK REFERENCE GUIDE,SÁCH H??NG D?N,49019990,SÁCH H??NG D?N
131136112,"ENDCAP CORDED, LIGHT MIC",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
93ACC0113,BM1300 ETHERCAT MODULE,C?M L?P RÁP B? GIAO TI?P,84733090,C?M L?P RÁP
93ACC1810,BM300 PROFIBUS MODULE,C?M L?P RÁP B? GIAO TI?P,84733090,C?M L?P RÁP
93ACC1812,BM500 ETHERNET/IP MODULE,C?M L?P RÁP B? GIAO TI?P,84733090,C?M L?P RÁP
93ACC1814,BM400 DEVICENET IP65 MODULE,C?M L?P RÁP B? GIAO TI?P,84733090,C?M L?P RÁP
93ACC1815,BM600 CAN OPEN MODULE,C?M L?P RÁP B? GIAO TI?P,84733090,C?M L?P RÁP
93ACC1816,BM700 PROFINET MODULE,C?M L?P RÁP B? GIAO TI?P,84733090,C?M L?P RÁP
93ACC1845,BM1100 CC-LINK MODULE,C?M L?P RÁP B? GIAO TI?P,84733090,C?M L?P RÁP
93ACC1848,BM1200 MODBUS TCP MODULE,C?M L?P RÁP B? GIAO TI?P,84733090,C?M L?P RÁP
93ACC1851,BM200 ETHERNET TCP/IP MODULE,C?M L?P RÁP B? GIAO TI?P,84733090,C?M L?P RÁP
163274457,"BODY MARK LABEL,BT,MARCO POLO WH",NHÃN (NH?A MI?NG),39199099,NHÃN (NH?A MI?NG)
740151600,"ASSY,BC9030-910 SB5533,HOME DEPOT",C?M L?P RÁP ?? S?C,84733090,C?M L?P RÁP
118011811 ,"BACK CLIP,BK,DBT6400",CH?T GÀI (NH?A),39269059,CH?T GÀI (NH?A)
118011801,"BACK CLIP,HC,DBT6400",CH?T GÀI (NH?A),39269059,CH?T GÀI (NH?A)
131153802,"RISER,WHITE,MGL1500I",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
131153901,"RISER DOOR,BLACK,MGL1500I",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
131153902,"RISER DOOR,WHITE,MGL1500I",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
131154501,"WALL MOUNT,BLACK,MGL1500I",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
131154502,"WALL MOUNT,WHITE,MGL15I",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
131154601,"BOTTOM COVER,WALL MOUNT,BLACK,MGL15I",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
131154602,"BOTTOM COVER,WALL MOUNT,WHITE,MGL15I",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
664134015,GEL-8797 M220 MAINBOARD CYCLONE V SOC,C?M L?P RÁP M?CH IN ?I?N T?,84733090,C?M L?P RÁP
664194015,GEL-8882 M220 DPM RED WIDE ANGLE ILLUM.,C?M L?P RÁP M?CH IN ?I?N T?,84733090,C?M L?P RÁP
664194022,GEL-9298 M220 BR WHITE WIDE ANGLE ILLUM,C?M L?P RÁP M?CH IN ?I?N T?,84733090,C?M L?P RÁP
664310012,GEL-9010 M220 HMI-ENCODER BOARD,C?M L?P RÁP M?CH IN ?I?N T?,84733090,C?M L?P RÁP
740248300,ASSY MODULE FIREFLY DE2102-DL,C?M L?P RÁP B? ?I?U KHI?N,84733090,C?M L?P RÁP
90ACC0376,"ACC,TDR,RESTRICTED,9"",MGL9800I",C?M L?P RÁP ??U ??C MÃ V?CH,84733090,C?M L?P RÁP
944700011,MEMOR 1 A00AN04HL0GT0AN-NNN,MÁY ??C MÃ V?CH,84719010,MÁY ??C MÃ V?CH
944700012,MEMOR 1 A00AN04HL0HT0AN-NN,MÁY ??C MÃ V?CH,84719010,MÁY ??C MÃ V?CH
007100325,ETH CABLE GIG RJ45 M12-X-CODED 5M,DÂY CÁP ?I?N,85444922,DÂY CÁP ?I?N
010000671,"WASHER 2,1X4,4X0,5 UNI 1751 B2 BLACK",MI?NG ??M (THÉP),73269099,MI?NG ??M (THÉP)
019258008,TAPPO IP65 X CONN. CIRC. MASCHIO M12,N?P CHE (NH?A),39269059,N?P CHE (NH?A)
160012200,DS-122 HEATSINK M220,MI?NG ??M,58061090,MI?NG ??M
170022400,F-224 POLARIZER FILTER 90° M220,MI?NG ??M (NH?A),39269059,MI?NG ??M (NH?A)
175021000,G-210 M220 SINGLE LED LIGHTPIPE,MI?NG ??M (NH?A),39269059,MI?NG ??M (NH?A)
176098000,GA-980 GASKET AUXILIARY CONNECTOR M220,MI?NG ??M (CAO SU),40169390,MI?NG ??M (CAO SU)
176098100,GA-981 COVER CAP M220,MI?NG ??M (CAO SU),40169390,MI?NG ??M (CAO SU)
278189901,"SP-1899 OPTICAL CAMERA, POE VERS. M220",KHUNG ?? (NHÔM),76169990,KHUNG ?? (NHÔM)
770257100,CVL-2571 M12 17P MALE 45 MM LENGTH M220,DÂY CÁP ?I?N,85444922,DÂY CÁP ?I?N
770262000,CVL-2620 ETHERNET CABLE STD M220,DÂY CÁP ?I?N,85444922,DÂY CÁP ?I?N
770262100,CVL-2621 ETHERNET CABLE POE M220,DÂY CÁP ?I?N,85444922,DÂY CÁP ?I?N
ZC0000114,ACRYLIC ADHESIVE UV DYMAX 3072 250ML,KEO L?NG,35061000,KEO L?NG
ZC0000136,UV N-YELLOW ADHESIVE & POTTING COM.500ML,KEO L?NG,35061000,KEO L?NG
ZC0000411,COLLA VITRALIT 6108-T  GEL 30GR,KEO L?NG,35061000,KEO L?NG
ZC0000473,DOW CORNING 3140 CARTUCCE 310 ML.,KEO L?NG,35061000,KEO L?NG
ZCCOM00004,GLUE LOCTITE IS460 20ML,KEO L?NG,35061000,KEO L?NG
ZCCOM00577,TEFLON FIN GREASE MP 2/3 1 KG.,KEO L?NG,35061000,KEO L?NG
ZCONS00076,GLUE BOSTIK SALDARAPIDO SYRINGE 27GR,KEO L?NG,35061000,KEO L?NG
163338912,"LABEL HANDLE LEFT 433 MHZ BK, MIC",NHÃN (NH?A CU?N),39191099,NHÃN (NH?A CU?N)
163338922,"LABEL HANDLE LEFT 910 MHZ, MIC",NHÃN (NH?A CU?N),39191099,NHÃN (NH?A CU?N)
163338942,"LABEL HANDLE LEFT BT, MIC",NHÃN (NH?A CU?N),39191099,NHÃN (NH?A CU?N)
163339012,"LABEL HANDLE RIGHT 433 MHZ BK, MIC",NHÃN (NH?A CU?N),39191099,NHÃN (NH?A CU?N)
163339022,"LABEL HANDLE RIGHT 910 MHZ, MIC",NHÃN (NH?A CU?N),39191099,NHÃN (NH?A CU?N)
163339032,"LABEL HANDLE RIGHT 910 MHZ BK, MIC",NHÃN (NH?A CU?N),39191099,NHÃN (NH?A CU?N)
163339042,"LABEL HANDLE RIGHT BT, MIC",NHÃN (NH?A CU?N),39191099,NHÃN (NH?A CU?N)
163339052,"LABEL HANDLE RIGHT BT BK, MIC",NHÃN (NH?A CU?N),39191099,NHÃN (NH?A CU?N)
199503202,"PAD, EMI ABSORBER",MI?NG ??M (CAO SU),40169390,MI?NG ??M (CAO SU)
142089500,"TRAY,TOP,ENGINE,FIREFLY",KHAY (NH?A),39269059,KHAY (NH?A)
142089700,"TRAY,BOTTOM,MULTI ENGINE,FIREFLY",KHAY (NH?A),39269059,KHAY (NH?A)
142089800,"BOX,10-PACK,ENGINE,FIREFLY",H?P ?ÓNG GÓI,48191000,H?P ?ÓNG GÓI
178011703,"CUTOUT TEMPLATE SPOKE,LANEHAWK",MI?NG ??M (NHÔM),76169990,MI?NG ??M (NHÔM)
662807015,"GEL-7761,TST,GRYPH 2D,MAIN DESK,5V",C?M L?P RÁP M?CH IN ?I?N T?,84733090,C?M L?P RÁP
663438038,"GEL-8130,TST MAIN STAR/BT GRYPHON",C?M L?P RÁP M?CH IN ?I?N T?,84733090,C?M L?P RÁP
663753016,GEL-8270 MAINBOARD SKORPIO X4,C?M L?P RÁP M?CH IN ?I?N T?,84733090,C?M L?P RÁP
663943012,"PCBA,GEL-8566,MULTI IF, TSTD",C?M L?P RÁP M?CH IN ?I?N T?,84733090,C?M L?P RÁP
664421011,GEL-9382 NEON FLEX KIT VL53L0X,C?M L?P RÁP M?CH IN ?I?N T?,84733090,C?M L?P RÁP
664455012,GEL-9474 GS FF_HE SOLDPAD,C?M L?P RÁP M?CH IN ?I?N T?,84733090,C?M L?P RÁP
664499010,GEL-9538 Q10 COMBINED FPC,C?M L?P RÁP M?CH IN ?I?N T?,84733090,C?M L?P RÁP
683438041,"GEL-8130,T&SW MAIN STAR,GM4400",C?M L?P RÁP M?CH IN ?I?N T?,84733090,C?M L?P RÁP
684058012,GEL-8728 NEON MOTOR PCB + SW,C?M L?P RÁP M?CH IN ?I?N T?,84733090,C?M L?P RÁP
684086005,GEL-8746 NEON MAIN PCB + SW,C?M L?P RÁP M?CH IN ?I?N T?,84733090,C?M L?P RÁP
700276202,LINEAR ACTUATOR ASSEMBLY NEON,C?M L?P RÁP B? RUNG,84733090,C?M L?P RÁP
700277102,"ILLUMINATION AIMING ASSEMBLY, NEON",C?M L?P RÁP QUANG H?C,84733090,C?M L?P RÁP
010138016,"SCREW M 2,5X  6  UNI 7687 ZB",?C VÍT,73181590,?C VÍT
176098301,"BOTTOM PLUG, NINJA",V? (CAO SU),40169390,V? (CAO SU)
ZC0000016,SILICONE DOW CORNING 7091 BIAN / NE /GR,KEO L?NG,35061000,KEO L?NG
163327800,E - 3278 SCREEN PROTECTOR JOYA TOUCH,NHÃN (NH?A MI?NG),39199099,NHÃN (NH?A MI?NG)
94A051016,CAB-421 USB TYPE A-B-MINI STRAIGHT,DÂY CÁP ?I?N,85444922,DÂY CÁP ?I?N
010000889 ,"SCREW,PH,PAN,M4X20,SHEETMETAL",?C VÍT,73181590,?C VÍT
163346101,"LABEL LASER, NINJA",NHÃN (NH?A MI?NG),39199099,NHÃN (NH?A MI?NG)
163346111,"LABEL LASER FRENCH, NINJA",NHÃN (NH?A MI?NG),39199099,NHÃN (NH?A MI?NG)
287021700,TC-217 METAL PLUG FOR COVER M220,MI?NG ??M (THÉP),73269099,MI?NG ??M (THÉP)
296027500,SCREW M2X0.4X4 ISO14583 NYLOK 180 BLUE,?C VÍT,73181590,?C VÍT
664252013,"GEL-8941 M220 MAINB. CYCLONE V SOC, POE",B?NG M?CH IN ?I?N T?,84733010,B?NG M?CH IN ?I?N T?
94ACC0192,"CHARGER, 4 SLOT BATTERY, MEMOR 10",C?M L?P RÁP ?? ??,84733090,C?M L?P RÁP ?? ??
700275002,MOTOR COIL ASSY NEON,MÔ T?,85011049,MÔ T?
700339500,OPTICAL FIREFLY,C?M L?P RÁP QUANG H?C,84733090,C?M L?P RÁP
163274447,"BODY MARK LABEL,MARCO POLO HP",NHÃN (NH?A MI?NG),39199099,NHÃN (NH?A MI?NG)
163338932,"LABEL HANDLE LEFT 910 MHZ BK, MIC",NHÃN (NH?A MI?NG),39199099,NHÃN (NH?A MI?NG)
163338952,"LABEL HANDLE LEFT BT BK, MIC",NHÃN (NH?A MI?NG),39199099,NHÃN (NH?A MI?NG)
163357500,EMI ABSORBER - NINJA,MI?NG ??M,58061090,MI?NG ??M
175020002,"ACTUATOR,MGL1500I",MI?NG ??M (NH?A),39269059,MI?NG ??M (NH?A)
278187001,"SPEAKER CHAMBER COVER,MGL1500I",KHUNG ?? (NH?A),39269059,KHUNG ?? (NH?A)
278189802,"FRAME,ACTUATOR,MGL1500I",KHUNG ?? (NH?A),39269059,KHUNG ?? (NH?A)
278190701,"HOUSING,POINTER/GREEN SPOT,MGL1500I",KHUNG ?? (NH?A),39269059,KHUNG ?? (NH?A)
298069601,"ILLUMINATION CONES,MGL1500I",KHUNG ?? (NH?A),39269059,KHUNG ?? (NH?A)
6003-0942,"CBL,AC,BRASIL,C13 PLUG,ROHS",DÂY CÁP ?I?N,85444922,DÂY CÁP ?I?N
GD4520-BKK1,"GRYPHON D4520, 2D MPX, BLK, 5V, USB KIT",MÁY ??C MÃ V?CH,84719010,MÁY ??C MÃ V?CH
GD4520-HCK1,"GRYPHON D4520, 2D MPX, HC, 5V, USB KIT",MÁY ??C MÃ V?CH,84719010,MÁY ??C MÃ V?CH
GD4520-HCK1-HD,"GRYPHON D4520, 2D MPX, HC, HD,5V,USB KIT",MÁY ??C MÃ V?CH,84719010,MÁY ??C MÃ V?CH
GD4590-HCK10-BPOC,"GRYPHON D4590,2D MPX, HC, 4-14V,KIT BPOC",MÁY ??C MÃ V?CH,84719010,MÁY ??C MÃ V?CH
GD4590-HCK10-HD-BP,"GRYPHON D4590,2D MPX,HC,HD,4-14V,KITBPOC",MÁY ??C MÃ V?CH,84719010,MÁY ??C MÃ V?CH
GD4590-WH,"GRYPHON D4590, 2D MPX, WHITE, 4-14V",MÁY ??C MÃ V?CH,84719010,MÁY ??C MÃ V?CH
GM4500-HC-910K10-B,"GRYPHON M4500, HC, 910MHZ, USB KIT BPOC",MÁY ??C MÃ V?CH,84719010,MÁY ??C MÃ V?CH
68000236,"LED,BLUE,SMD,40LM/W,GB CS8PM1.13",?I?T PHÁT SÁNG,85414010,?I?T PHÁT SÁNG
163338902,"LABEL HANDLE LEFT 433 MHZ, MIC",NHÃN (NH?A MI?NG),39199099,NHÃN (NH?A MI?NG)
163339002,"LABEL HANDLE RIGHT 433 MHZ, MIC",NHÃN (NH?A MI?NG),39199099,NHÃN (NH?A MI?NG)
007100323,ETH CABLE GIG RJ45 M12-X-CODED 1M,DÂY CÁP ?I?N,85444922,DÂY CÁP ?I?N
700316110,"TOP COVER CORDED ASSY BARCOTEC, MIC",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
281088100,MOUNTING BRACKET - NINJA,KHUNG ?? (THÉP),73269099,KHUNG ?? (THÉP)
281090600,MULTIFACE ADAPTOR – NINJA,KHUNG ?? (THÉP),73269099,KHUNG ?? (THÉP)
060100193,"ZENER 5,6 V 2% SOT23 BZX84B5V6LT1G",?I?T,85411000,?I?T
023004016,CARD MICROSD  8GB,TH? NH?,85423200,TH? NH?
142074701,"BOX,SHIPPING,MGL2200/2300",H?P ?ÓNG GÓI,48191000,H?P ?ÓNG GÓI
163243006,"LABEL,REG,SERIAL NBR,USA,MG22",NHÃN (NH?A CU?N),39191099,NHÃN (NH?A CU?N)
850024414,"ADDENDUM,REG,MGL22/23",SÁCH H??NG D?N,49019990,SÁCH H??NG D?N
163353300,"HANDLE LABEL HP, CORDED MIC",NHÃN (NH?A MI?NG),39199099,NHÃN (NH?A MI?NG)
298070501,"OPTICAL BARREL, HD MICHELANGELO",KHUNG ?? (NH?A),39269059,KHUNG ?? (NH?A)
004002178,"CONN RECT   8P M PCB STRAIGHT SMD P.1,25",??U N?I,85366939,??U N?I
027410043,COMMON MODE CHOKE COIL 0805 330MA 90OHM,CU?N C?M,85045020,CU?N C?M
034000772,"RES,39R 1% 0402 1/16W",?I?N TR?,85332100,?I?N TR?
053100161,IC LP3982 8LPP LOW NOISE 300 MA CMOS REG,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
065210066,MOSFET P NDS0610 SOT23,TRANSISTOR,85412900,TRANSISTOR
069000004,"OPT TLP127 TPR SO6 2,5KV OUT=TRANSISTOR",TRANSISTOR,85412900,TRANSISTOR
700314900,OPTICAL CHAMBER SUBASSY PUL2 STD MIC,KHUNG ?? (NH?A),39269059,KHUNG ?? (NH?A)
700314910,OPTICAL CHAMBER SUBASSY PUL2 HD MIC,KHUNG ?? (NH?A),39269059,KHUNG ?? (NH?A)
100462900,"FAB, FE4629, CUMULUS ILLUMINATION",B?NG M?CH IN ?I?N T?,84733010,B?NG M?CH IN ?I?N T?
770105700,CVL-1057 RS232 OUTPUT CABLE TC1200,DÂY CÁP ?I?N,85444922,DÂY CÁP ?I?N
176055990,GA - 559 GUARNIZIONE TC1200,MI?NG ??M,58061090,MI?NG ??M
214003500,M - 35 SOLENOID YAXIN,CU?N C?M,85045020,CU?N C?M
004002164,"CONN RECT  10P M PCB STRAIGHT P.1,25 SMD",??U N?I,85366939,??U N?I
004007003,"CONN FLAT CABLE 6P F PCB 90° P.0,5 SMD",??U N?I,85366939,??U N?I
034000714,"RES,0R 1/8W 0603 HIGH POWER JUMPER",?I?N TR?,85332100,?I?N TR?
062000058,"DIODE,SFH206K,PHOTO,IR,DETC,ROHS",?I?T,85411000,?I?T
129000790,"BU -  7 BUSTA POLIETILENE 10 X 10,5 CM",MI?NG ??M (NH?A),39269059,MI?NG ??M (NH?A)
142508591,CO -5085 NEUTRAL PACKAGING BOX,H?P ?ÓNG GÓI,48191000,H?P ?ÓNG GÓI
199284600,"SHIELD CAN,DETECTOR",MI?NG CH?NG NHI?U (THÉP),73269099,MI?NG CH?NG NHI?U (THÉP)
199284700,"MOUNT,DETECTOR",CH?T GÀI (NH?A),39269059,CH?T GÀI (NH?A)
296023301,"VF - 233 SCREW M1,4X0,3 L=4 TORX T3",?C VÍT,73181590,?C VÍT
700286604,"LOCKING SYST BASE ASSY HC, CRADLE MIC",KHUNG ?? (NH?A),39269059,KHUNG ?? (NH?A)
ZC0000238,ET.LASERAB.NERA OPACA TESA 1PC=360000CM2,KEO/KAPTON,39209299,KEO/KAPTON
034560027,"RES,27R 5% 0603 1/10W",?I?N TR?,85332100,?I?N TR?
054100113,IC STR91XF 16/32-BIT FLASH MCU LQFP128,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
94A151137,"CHARGER, 4 SLOT BATTERY, FALCONX3/X4",?? MÁY ??C MÃ V?CH,84733090,?? MÁY ??C MÃ V?CH
10044042,SCREW M 4  X 16  UNI 5931 ZCWH,?C VÍT,73181590,?C VÍT
199333800,"SEAL,SPEAKER,MGL2200VS",MI?NG ??M,58061090,MI?NG ??M
731205100,"LABEL,IEC WARNING,MGL2200VS/MGL2300HS",NHÃN (NH?A CU?N),39191099,NHÃN (NH?A CU?N)
